"Commune","Qté tot réc par les caves particulières (hl)","Part Vins AOP rouge/rosé réc (%)","Part Vins AOP blanc réc (%)","Part Vins IGP rouge/rosé réc (%)","Part Vins IGP blanc réc (%)","Part Vins sans IG et autres rouge/rosé réc (%)","Part Vins sans IG et autres blanc réc (%)","Accès au graphique de la part des types de vin / couleur","code"
"33- MOULIETS-ET-VILLEMARTIN","9837","94.3","4.3","0","0","1.1","0.3","url:../graphs/rpart/rpart_c1038.html;D'autres informations","33"
"33- SAINT-MEDARD-D'EYRANS","1823","94.8","5.2","0","0","0","0","url:../graphs/rpart/rpart_c1132.html;D'autres informations","33"
"33- SAINT-MARTIN-DE-LAYE","1316","98","1","0","0","0.2","0.8","url:../graphs/rpart/rpart_c1126.html;D'autres informations","33"
"33- LAROQUE","3830","73.9","25.5","0","0","0.1","0.6","url:../graphs/rpart/rpart_c1005.html;D'autres informations","33"
"33- SAINT-LAURENT-DU-BOIS","12707","73.2","26.7","0","0","0","0","url:../graphs/rpart/rpart_c1118.html;D'autres informations","33"
"33- AUBIE-ET-ESPESSAS","10639","97.8","1.6","0","0","0.3","0.3","url:../graphs/rpart/rpart_c899.html;D'autres informations","33"
"33- MONPRIMBLANC","9920","56.1","43.1","0","0","0.4","0.3","url:../graphs/rpart/rpart_c1033.html;D'autres informations","33"
"33- SAINT-PIERRE-D'AURILLAC","9087","83.7","11.9","0","0","3.9","0.4","url:../graphs/rpart/rpart_c1142.html;D'autres informations","33"
"33- QUINSAC","4959","99","0.3","0","0","0.6","0","url:../graphs/rpart/rpart_c1071.html;D'autres informations","33"
"33- BRAUD-ET-SAINT-LOUIS","5052","93.8","2.4","0","0","2.2","1.7","url:../graphs/rpart/rpart_c923.html;D'autres informations","33"
"33- CASSEUIL","2633","49.7","45.3","0","0","2.6","2.4","url:../graphs/rpart/rpart_c941.html;D'autres informations","33"
"33- ARVEYRES","8321","88","11.9","0","0","0.1","0","url:../graphs/rpart/rpart_c897.html;D'autres informations","33"
"33- LATRESNE","706","94.6","5.4","0","0","0","0","url:../graphs/rpart/rpart_c1007.html;D'autres informations","33"
"33- MONTIGNAC","5737","72.4","27.3","0","0","0.3","0","url:../graphs/rpart/rpart_c1035.html;D'autres informations","33"
"33- LAMARQUE","4786","99","0","0","0","1","0","url:../graphs/rpart/rpart_c999.html;D'autres informations","33"
"33- SAINT-SAUVEUR","13745","99.7","0.2","0","0","0.1","0","url:../graphs/rpart/rpart_c1148.html;D'autres informations","33"
"33- PORTETS","21139","86","12.6","0","0","1.4","0","url:../graphs/rpart/rpart_c1061.html;D'autres informations","33"
"33- ESCOUSSANS","17712","70.2","29.2","0","0","0.6","0","url:../graphs/rpart/rpart_c966.html;D'autres informations","33"
"33- NERIGEAN","4072","84.9","14","0","0","0.8","0.2","url:../graphs/rpart/rpart_c1044.html;D'autres informations","33"
"33- SAINTE-FOY-LA-LONGUE","7714","83.6","14.6","0","0","1.5","0.4","url:../graphs/rpart/rpart_c1166.html;D'autres informations","33"
"33- MOURENS","20315","71.4","25","0","0","2.9","0.8","url:../graphs/rpart/rpart_c1041.html;D'autres informations","33"
"33- GENISSAC","11745","94.5","4.8","0","0","0.4","0.3","url:../graphs/rpart/rpart_c982.html;D'autres informations","33"
"33- SAINT-VIVIEN-DE-MONSEGUR","3091","96.9","0.3","0","0","2.8","0","url:../graphs/rpart/rpart_c1161.html;D'autres informations","33"
"33- CLEYRAC","5660","87.6","10.1","0","0","1.9","0.4","url:../graphs/rpart/rpart_c953.html;D'autres informations","33"
"33- GAURIAC","3454","97.1","2.5","0","0","0.4","0","url:../graphs/rpart/rpart_c981.html;D'autres informations","33"
"33- CADAUJAC","2288","82.6","15.9","0","0","1.5","0","url:../graphs/rpart/rpart_c926.html;D'autres informations","33"
"33- SAINT-LAURENT-DES-COMBES","9963","100","0","0","0","0","0","url:../graphs/rpart/rpart_c1117.html;D'autres informations","33"
"33- PESSAC-SUR-DORDOGNE","3961","86","14","0","0","0","0","url:../graphs/rpart/rpart_c1051.html;D'autres informations","33"
"33- NAUJAN-ET-POSTIAC","17933","63.5","36.2","0","0","0.1","0.1","url:../graphs/rpart/rpart_c1042.html;D'autres informations","33"
"33- SAINTE-EULALIE","4163","95.9","0.5","0","0","3.6","0.1","url:../graphs/rpart/rpart_c1165.html;D'autres informations","33"
"33- SAINT-MARIENS","8629","78.8","18","0","0","1.3","1.9","url:../graphs/rpart/rpart_c1124.html;D'autres informations","33"
"33- BONZAC","1771","96.2","0","0","0","0.1","3.7","url:../graphs/rpart/rpart_c920.html;D'autres informations","33"
"33- FOURS","4792","90.1","8.1","0","0","0.4","1.5","url:../graphs/rpart/rpart_c973.html;D'autres informations","33"
"33- TAILLECAVAT","4496","91.9","7.2","0","0","0.9","0","url:../graphs/rpart/rpart_c1180.html;D'autres informations","33"
"33- VILLENEUVE","8570","99.7","0","0","0","0.2","0.1","url:../graphs/rpart/rpart_c1198.html;D'autres informations","33"
"33- JUGAZAN","8693","93.2","6.3","0","0","0.5","0","url:../graphs/rpart/rpart_c994.html;D'autres informations","33"
"33- SAINT-GENES-DE-CASTILLON","5445","94.3","0","0","0","5.3","0.4","url:../graphs/rpart/rpart_c1104.html;D'autres informations","33"
"33- GREZILLAC","25507","56.9","43","0","0","0.1","0","url:../graphs/rpart/rpart_c986.html;D'autres informations","33"
"33- CUBNEZAIS","4821","70.1","22.7","0","0","7.2","0","url:../graphs/rpart/rpart_c958.html;D'autres informations","33"
"33- SAINT-MARTIN-DE-SESCAS","14117","94.1","5.5","0","0","0.4","0","url:../graphs/rpart/rpart_c1128.html;D'autres informations","33"
"33- PEUJARD","548","88.7","6.9","0","0","4.2","0.2","url:../graphs/rpart/rpart_c1053.html;D'autres informations","33"
"33-LA ROQUILLE","2451","81","18.6","0","0","0","0.4","url:../graphs/rpart/rpart_c1205.html;D'autres informations","33"
"33- PODENSAC","4726","77.3","19.5","0","0","2.6","0.6","url:../graphs/rpart/rpart_c1057.html;D'autres informations","33"
"33-LA BREDE","4543","57.4","37.7","0","0","4.7","0.2","url:../graphs/rpart/rpart_c1201.html;D'autres informations","33"
"33- SAINT-HIPPOLYTE","6730","99","1","0","0","0","0","url:../graphs/rpart/rpart_c1114.html;D'autres informations","33"
"33- SAINT-FELIX-DE-FONCAUDE","10115","85.4","14.6","0","0","0","0","url:../graphs/rpart/rpart_c1101.html;D'autres informations","33"
"33- FALEYRAS","4924","85.2","14.1","0","0","0.7","0","url:../graphs/rpart/rpart_c969.html;D'autres informations","33"
"33- POMPIGNAC","2852","93.8","6.1","0","0","0.1","0","url:../graphs/rpart/rpart_c1059.html;D'autres informations","33"
"33- TEUILLAC","8765","95.6","3.8","0","0","0.1","0.5","url:../graphs/rpart/rpart_c1184.html;D'autres informations","33"
"33- ANGLADE","4928","83.7","12.9","0","0","3","0.4","url:../graphs/rpart/rpart_c892.html;D'autres informations","33"
"33- JUILLAC","8324","95.9","3.5","0.4","0","0.2","0","url:../graphs/rpart/rpart_c995.html;D'autres informations","33"
"33- SAINT-GIRONS-D'AIGUEVIVES","5419","89.5","0.6","0","0","8.1","1.8","url:../graphs/rpart/rpart_c1112.html;D'autres informations","33"
"33- SAINT-JEAN-DE-BLAIGNAC","5037","81.7","18.2","0","0","0","0.1","url:../graphs/rpart/rpart_c1115.html;D'autres informations","33"
"33- SAINT-AUBIN-DE-BRANNE","543","90.3","9.2","0","0","0.5","0","url:../graphs/rpart/rpart_c1085.html;D'autres informations","33"
"33- GORNAC","16836","74.8","25.1","0","0","0.1","0","url:../graphs/rpart/rpart_c985.html;D'autres informations","33"
"33- TABANAC","1223","85.3","13.2","0","0","1.6","0","url:../graphs/rpart/rpart_c1179.html;D'autres informations","33"
"33- SAINTE-RADEGONDE","8835","84.3","13.7","0","0","2","0.1","url:../graphs/rpart/rpart_c1168.html;D'autres informations","33"
"33- EYNESSE","3750","83.4","15.7","0","0","0.5","0.4","url:../graphs/rpart/rpart_c967.html;D'autres informations","33"
"33- BAURECH","3569","92.3","7.7","0","0","0","0","url:../graphs/rpart/rpart_c906.html;D'autres informations","33"
"33- LANGOIRAN","5043","93.3","6.5","0","0","0","0.2","url:../graphs/rpart/rpart_c1002.html;D'autres informations","33"
"33- SAINTE-GEMME","4640","88.7","9.9","0","0","1.4","0","url:../graphs/rpart/rpart_c1167.html;D'autres informations","33"
"33- CISSAC-MEDOC","11487","99.2","0","0","0","0.8","0","url:../graphs/rpart/rpart_c950.html;D'autres informations","33"
"33- BOSSUGAN","3202","92","8","0","0","0","0","url:../graphs/rpart/rpart_c921.html;D'autres informations","33"
"33- ILLATS","5718","63.7","35.9","0","0","0.4","0","url:../graphs/rpart/rpart_c990.html;D'autres informations","33"
"33- SAINT-PEY-D'ARMENS","9790","98.8","0.7","0","0","0.5","0","url:../graphs/rpart/rpart_c1138.html;D'autres informations","33"
"33- JAU-DIGNAC-ET-LOIRAC","12399","99.6","0.1","0","0","0.2","0","url:../graphs/rpart/rpart_c993.html;D'autres informations","33"
"33- ORDONNAC","8071","100","0","0","0","0","0","url:../graphs/rpart/rpart_c1046.html;D'autres informations","33"
"33- DAIGNAC","4153","67.7","32.3","0","0","0","0","url:../graphs/rpart/rpart_c961.html;D'autres informations","33"
"33- SAINT-GERMAIN-DU-PUCH","15699","89.3","9.7","0","0","1","0","url:../graphs/rpart/rpart_c1110.html;D'autres informations","33"
"33- VAYRES","10212","72.8","24.9","0","0","2","0.3","url:../graphs/rpart/rpart_c1189.html;D'autres informations","33"
"33- ARSAC","8455","96.8","1.9","0","0","1.3","0","url:../graphs/rpart/rpart_c896.html;D'autres informations","33"
"33- PRIGNAC-ET-MARCAMPS","6668","99.7","0.1","0","0","0.1","0","url:../graphs/rpart/rpart_c1064.html;D'autres informations","33"
"33- SAINT-SEURIN-DE-BOURG","4976","97.2","2.2","0","0","0.2","0.4","url:../graphs/rpart/rpart_c1150.html;D'autres informations","33"
"33- SAINT-ANDRONY","7074","98.7","0.7","0","0","0","0.6","url:../graphs/rpart/rpart_c1082.html;D'autres informations","33"
"33- SAINT-SEVE","203","88.9","0","0","0","10.4","0.7","url:../graphs/rpart/rpart_c1153.html;D'autres informations","33"
"33- SAINT-VINCENT-DE-PAUL","4359","96.8","2.7","0","0","0.5","0","url:../graphs/rpart/rpart_c1158.html;D'autres informations","33"
"33- SAINT-SEURIN-DE-CURSAC","2976","97.6","1.4","0","0","1","0","url:../graphs/rpart/rpart_c1152.html;D'autres informations","33"
"33- MARSAS","4782","77.5","6.3","0","0","15.7","0.5","url:../graphs/rpart/rpart_c1025.html;D'autres informations","33"
"33- SAILLANS","7015","96.8","1.8","0","0","1.4","0","url:../graphs/rpart/rpart_c1077.html;D'autres informations","33"
"33- FRONSAC","11263","97.7","0.5","0","0","1.8","0","url:../graphs/rpart/rpart_c975.html;D'autres informations","33"
"33- LIGUEUX","2134","84.6","15.4","0","0","0","0","url:../graphs/rpart/rpart_c1012.html;D'autres informations","33"
"33- TAYAC","1568","94.7","3.5","0","0","1.7","0.1","url:../graphs/rpart/rpart_c1183.html;D'autres informations","33"
"33- GIRONDE-SUR-DROPT","6373","90.6","9.4","0","0","0","0","url:../graphs/rpart/rpart_c984.html;D'autres informations","33"
"33- SAINT-VINCENT-DE-PERTIGNAS","4816","93.4","6.6","0","0","0","0","url:../graphs/rpart/rpart_c1159.html;D'autres informations","33"
"33- GUILLAC","2347","87","10.2","0","0","2.5","0.3","url:../graphs/rpart/rpart_c988.html;D'autres informations","33"
"33- SAINT-PALAIS","6885","84.1","15.9","0","0","0","0","url:../graphs/rpart/rpart_c1136.html;D'autres informations","33"
"33- CAMIAC-ET-SAINT-DENIS","746","96.5","1.5","0","0","1.7","0.3","url:../graphs/rpart/rpart_c930.html;D'autres informations","33"
"33- ASQUES","2175","98.8","0","0","0","1.2","0","url:../graphs/rpart/rpart_c898.html;D'autres informations","33"
"33- SAINT-CIERS-D'ABZAC","4290","60.1","9.3","0","0","30.2","0.5","url:../graphs/rpart/rpart_c1094.html;D'autres informations","33"
"33- FLAUJAGUES","4703","68.9","7.7","0","0","23.4","0","url:../graphs/rpart/rpart_c971.html;D'autres informations","33"
"33- SAINT-LAURENT-DU-PLAN","2209","86.2","11.4","0","0","2.3","0","url:../graphs/rpart/rpart_c1119.html;D'autres informations","33"
"33- LANDERROUAT","22121","84.9","12.8","0","0","1.6","0.6","url:../graphs/rpart/rpart_c1000.html;D'autres informations","33"
"33- BELVES-DE-CASTILLON","7407","92","0.5","0","0","7.1","0.3","url:../graphs/rpart/rpart_c912.html;D'autres informations","33"
"33- SAINT-PIERRE-DE-MONS","4522","65.2","34.4","0","0","0.4","0","url:../graphs/rpart/rpart_c1144.html;D'autres informations","33"
"33- SAINTE-CROIX-DU-MONT","20456","43.1","56.3","0.2","0","0.2","0.3","url:../graphs/rpart/rpart_c1164.html;D'autres informations","33"
"33- TRESSES","6285","93.8","4.7","0","0","1.5","0","url:../graphs/rpart/rpart_c1187.html;D'autres informations","33"
"33- CARDAN","1703","76.3","23.1","0","0","0.4","0.2","url:../graphs/rpart/rpart_c937.html;D'autres informations","33"
"33- BEGUEY","9757","77.3","22.6","0","0","0","0.1","url:../graphs/rpart/rpart_c911.html;D'autres informations","33"
"33- ARBANATS","3864","86.6","13.3","0","0","0.1","0","url:../graphs/rpart/rpart_c893.html;D'autres informations","33"
"33- SAINT-CAPRAIS-DE-BLAYE","5761","76.3","23.1","0","0","0.1","0.5","url:../graphs/rpart/rpart_c1088.html;D'autres informations","33"
"33- PAUILLAC","34435","98.7","1.3","0","0","0","0","url:../graphs/rpart/rpart_c1047.html;D'autres informations","33"
"33- SAINT-CHRISTOPHE-DES-BARDES","23529","99.1","0.6","0","0","0.3","0","url:../graphs/rpart/rpart_c1092.html;D'autres informations","33"
"33- BOMMES","4895","6.6","92.8","0","0","0.5","0","url:../graphs/rpart/rpart_c919.html;D'autres informations","33"
"33- DONZAC","6942","67.7","32.2","0","0","0.1","0","url:../graphs/rpart/rpart_c964.html;D'autres informations","33"
"33- BEGADAN","39319","99.6","0.4","0","0","0","0","url:../graphs/rpart/rpart_c910.html;D'autres informations","33"
"33- SALLEBOEUF","10298","93.1","6.7","0","0","0.1","0","url:../graphs/rpart/rpart_c1171.html;D'autres informations","33"
"33- ARBIS","10844","60.7","33.3","0","0","4.4","1.6","url:../graphs/rpart/rpart_c894.html;D'autres informations","33"
"33-LA RIVIERE","2736","94.5","2.3","0","0","3.1","0","url:../graphs/rpart/rpart_c1204.html;D'autres informations","33"
"33- SAINT-AVIT-SAINT-NAZAIRE","11111","92.9","6.4","0","0","0.7","0","url:../graphs/rpart/rpart_c1086.html;D'autres informations","33"
"33- SAINT-PAUL","4050","84.7","9","0","0","1.8","4.5","url:../graphs/rpart/rpart_c1137.html;D'autres informations","33"
"33- FOSSES-ET-BALEYSSAC","7922","86.2","13.8","0","0","0","0","url:../graphs/rpart/rpart_c972.html;D'autres informations","33"
"33- SAINT-MARTIN-DU-PUY","18034","73.6","25.6","0","0","0.7","0.1","url:../graphs/rpart/rpart_c1130.html;D'autres informations","33"
"33- CENAC","2589","88.9","7.5","0","0","2.5","1.1","url:../graphs/rpart/rpart_c947.html;D'autres informations","33"
"33- SAINT-CAPRAIS-DE-BORDEAUX","1414","92.8","7.1","0","0","0.1","0","url:../graphs/rpart/rpart_c1089.html;D'autres informations","33"
"33- SAINT-GENES-DE-BLAYE","9347","97.8","2","0","0.1","0.1","0.1","url:../graphs/rpart/rpart_c1103.html;D'autres informations","33"
"33- BLAYE","2142","98.9","0","0","0","1.1","0","url:../graphs/rpart/rpart_c918.html;D'autres informations","33"
"33- IZON","810","81.5","0.5","0","0","17.5","0.5","url:../graphs/rpart/rpart_c992.html;D'autres informations","33"
"33- BAYAS","710","89.7","8.9","0","0","0","1.4","url:../graphs/rpart/rpart_c907.html;D'autres informations","33"
"33- SAINT-MARTIAL","16457","78.8","20.4","0","0","0.8","0","url:../graphs/rpart/rpart_c1125.html;D'autres informations","33"
"33- CANTOIS","4912","67.2","32.7","0","0","0.1","0","url:../graphs/rpart/rpart_c934.html;D'autres informations","33"
"33- PRIGNAC-EN-MEDOC","6576","100","0","0","0","0","0","url:../graphs/rpart/rpart_c1063.html;D'autres informations","33"
"33- PREIGNAC","13784","27.1","71.2","0","0","0.4","1.3","url:../graphs/rpart/rpart_c1062.html;D'autres informations","33"
"33- SAINT-MARTIN-DE-LERM","2927","81.6","8.3","0","0","10","0","url:../graphs/rpart/rpart_c1127.html;D'autres informations","33"
"33- LALANDE-DE-POMEROL","14422","99.5","0","0","0","0.5","0","url:../graphs/rpart/rpart_c998.html;D'autres informations","33"
"33- LUGON-ET-L'ILE-DU-CARNAY","5687","95.9","1.8","0","0","2.3","0","url:../graphs/rpart/rpart_c1018.html;D'autres informations","33"
"33- CAMPUGNAN","2892","87.2","9.6","0","0","2.8","0.3","url:../graphs/rpart/rpart_c932.html;D'autres informations","33"
"33- EYRANS","1763","94.1","2.7","0","0","3.2","0","url:../graphs/rpart/rpart_c968.html;D'autres informations","33"
"33- FARGUES","3655","10.6","87.1","0","0","0","2.3","url:../graphs/rpart/rpart_c970.html;D'autres informations","33"
"33- LESPARRE-MEDOC","4342","99.6","0","0","0","0.4","0","url:../graphs/rpart/rpart_c1009.html;D'autres informations","33"
"33- SAINT-PHILIPPE-DU-SEIGNAL","8963","96.4","3.6","0","0","0","0","url:../graphs/rpart/rpart_c1141.html;D'autres informations","33"
"33- SAINT-GERMAIN-DE-GRAVE","8732","67.9","31.6","0","0","0","0.5","url:../graphs/rpart/rpart_c1108.html;D'autres informations","33"
"33- CAMIRAN","7889","86.3","13.6","0","0","0.1","0","url:../graphs/rpart/rpart_c931.html;D'autres informations","33"
"33- MOMBRIER","6864","100","0","0","0","0","0","url:../graphs/rpart/rpart_c1032.html;D'autres informations","33"
"33- VERAC","4892","96.6","2.4","0","0","1","0","url:../graphs/rpart/rpart_c1191.html;D'autres informations","33"
"33- SAINT-YZANS-DE-MEDOC","12881","97.6","1.8","0","0","0.6","0","url:../graphs/rpart/rpart_c1162.html;D'autres informations","33"
"33- PLASSAC","4786","94.9","1.4","0","0","2.9","0.7","url:../graphs/rpart/rpart_c1055.html;D'autres informations","33"
"33- SAINT-MAGNE-DE-CASTILLON","23778","98.7","0.5","0","0","0.8","0","url:../graphs/rpart/rpart_c1122.html;D'autres informations","33"
"33- CASTELVIEL","6395","73.9","23.2","0","0","2.9","0","url:../graphs/rpart/rpart_c942.html;D'autres informations","33"
"33- SAINT-GENES-DE-FRONSAC","2555","67.6","0","0","0","32.4","0","url:../graphs/rpart/rpart_c1105.html;D'autres informations","33"
"33- SAINT-SULPICE-DE-FALEYRENS","29006","98.5","1","0.3","0","0.1","0","url:../graphs/rpart/rpart_c1154.html;D'autres informations","33"
"33- SAINT-CIERS-DE-CANESSE","11863","98.6","0.4","0","0","1","0","url:../graphs/rpart/rpart_c1095.html;D'autres informations","33"
"33- CARS","19437","96.2","3","0","0.1","0.7","0","url:../graphs/rpart/rpart_c939.html;D'autres informations","33"
"33- VERDELAIS","9218","75.2","24.8","0","0","0","0","url:../graphs/rpart/rpart_c1192.html;D'autres informations","33"
"33- SAINT-AUBIN-DE-BLAYE","7964","84","9.7","0","0","2.7","3.6","url:../graphs/rpart/rpart_c1084.html;D'autres informations","33"
"33- CABARA","1393","92.3","0","0","0","7.4","0.3","url:../graphs/rpart/rpart_c925.html;D'autres informations","33"
"33- DOULEZON","3845","89.3","10.7","0","0","0","0","url:../graphs/rpart/rpart_c965.html;D'autres informations","33"
"33- SAINT-CHRISTOLY-DE-BLAYE","8878","91.7","4.5","0","0","3.2","0.6","url:../graphs/rpart/rpart_c1090.html;D'autres informations","33"
"33- SAINT-AIGNAN","4334","96.6","1","0","0","2.5","0","url:../graphs/rpart/rpart_c1078.html;D'autres informations","33"
"33- SEMENS","5219","54.6","43.9","0","0","1.1","0.4","url:../graphs/rpart/rpart_c1175.html;D'autres informations","33"
"33- NEAC","17243","99.7","0","0","0","0.3","0","url:../graphs/rpart/rpart_c1043.html;D'autres informations","33"
"33- LOUPIAC","12063","32.7","66","0","0","1.1","0.1","url:../graphs/rpart/rpart_c1015.html;D'autres informations","33"
"33- SAINT-GERMAIN-DE-LA-RIVIERE","396","100","0","0","0","0","0","url:../graphs/rpart/rpart_c1109.html;D'autres informations","33"
"33- CUSSAC-FORT-MEDOC","14994","99.4","0","0","0","0.4","0.3","url:../graphs/rpart/rpart_c960.html;D'autres informations","33"
"33- SOULIGNAC","23597","70","27","0","0","1.8","1.1","url:../graphs/rpart/rpart_c1176.html;D'autres informations","33"
"33- VERTHEUIL","11480","99.9","0","0","0","0.1","0","url:../graphs/rpart/rpart_c1193.html;D'autres informations","33"
"33- VILLENAVE-DE-RIONS","2749","73.1","24","0","0","2.2","0.7","url:../graphs/rpart/rpart_c1197.html;D'autres informations","33"
"34- AGEL","3848","33.4","3.9","51","4","6.8","0.8","url:../graphs/rpart/rpart_c1216.html;D'autres informations","34"
"34- MONTPELLIER","5394","25.9","2.3","49.5","4.5","16.6","1.2","url:../graphs/rpart/rpart_c1278.html;D'autres informations","34"
"34-LE BOSC","4899","27.4","2.9","43.1","5.7","20.1","0.9","url:../graphs/rpart/rpart_c1338.html;D'autres informations","34"
"34- LUNEL","5903","10.5","3.9","68.7","8.4","7","1.5","url:../graphs/rpart/rpart_c1268.html;D'autres informations","34"
"34- CRUZY","15130","5.5","0.2","75.1","2.8","14.4","2","url:../graphs/rpart/rpart_c1250.html;D'autres informations","34"
"34- MURLES","1072","17.9","7.9","48.5","3.9","21.8","0","url:../graphs/rpart/rpart_c1280.html;D'autres informations","34"
"34- PIERRERUE","5782","58.3","2.6","12.5","11.7","14.9","0","url:../graphs/rpart/rpart_c1289.html;D'autres informations","34"
"34- GIGNAC","6874","22.6","1.2","68.7","6.3","1.1","0.1","url:../graphs/rpart/rpart_c1259.html;D'autres informations","34"
"34- FLORENSAC","51415","0","3.5","36.7","27.4","27.2","5.2","url:../graphs/rpart/rpart_c1253.html;D'autres informations","34"
"34-LA LIVINIERE","23244","49.7","0.1","40.2","6.6","3.2","0.3","url:../graphs/rpart/rpart_c1336.html;D'autres informations","34"
"34- CORNEILHAN","5433","0","0","73","16.1","7.3","3.7","url:../graphs/rpart/rpart_c1246.html;D'autres informations","34"
"34- CABREROLLES","4117","89.4","5.8","2.7","1.2","1","0","url:../graphs/rpart/rpart_c1233.html;D'autres informations","34"
"34- THEZAN-LES-BEZIERS","45426","0","0","35.6","8.5","45.7","10.1","url:../graphs/rpart/rpart_c1322.html;D'autres informations","34"
"34- AGDE","14926","0","0.2","56.5","29.7","13.3","0.3","url:../graphs/rpart/rpart_c1215.html;D'autres informations","34"
"34- MAGALAS","26120","9.3","0.5","77.3","8.2","4.4","0.2","url:../graphs/rpart/rpart_c1269.html;D'autres informations","34"
"34- VILLENEUVE-LES-MAGUELONE","5196","3.8","1.5","67.3","5.6","21.6","0.2","url:../graphs/rpart/rpart_c1332.html;D'autres informations","34"
"34-LA CAUNETTE","7337","35.7","1.5","31.2","2.3","29","0.3","url:../graphs/rpart/rpart_c1335.html;D'autres informations","34"
"34- BESSAN","17402","0","0","40.9","15.9","30.7","12.6","url:../graphs/rpart/rpart_c1230.html;D'autres informations","34"
"34- CAZOULS-LES-BEZIERS","20895","1.2","0","64.6","20.9","11.6","1.7","url:../graphs/rpart/rpart_c1240.html;D'autres informations","34"
"34- MURVIEL-LES-BEZIERS","19180","13.3","0.5","52.5","17.6","15","1","url:../graphs/rpart/rpart_c1281.html;D'autres informations","34"
"34- CAPESTANG","114805","0.1","0","51.9","21.3","18.6","8","url:../graphs/rpart/rpart_c1235.html;D'autres informations","34"
"34- SAINT-PRIVAT","459","93","0","0","0","3.5","3.5","url:../graphs/rpart/rpart_c1315.html;D'autres informations","34"
"34- ANIANE","7188","14.9","0.3","67.5","13.9","3.5","0","url:../graphs/rpart/rpart_c1220.html;D'autres informations","34"
"34- SAINT-MATHIEU-DE-TREVIERS","4550","50.8","2.7","34.4","10.3","1.6","0.2","url:../graphs/rpart/rpart_c1313.html;D'autres informations","34"
"34- CLARET","3763","69.6","1.8","20","4.1","3","1.5","url:../graphs/rpart/rpart_c1243.html;D'autres informations","34"
"34- VILLENEUVE-LES-BEZIERS","2739","0","0","53.2","18.1","14.1","14.5","url:../graphs/rpart/rpart_c1331.html;D'autres informations","34"
"34- VENDRES","46979","0.3","0","54.7","21.4","16.6","7","url:../graphs/rpart/rpart_c1327.html;D'autres informations","34"
"34- ASSAS","4517","37.5","1.2","48.6","6.3","5.7","0.6","url:../graphs/rpart/rpart_c1223.html;D'autres informations","34"
"34- BEAUFORT","6028","70.6","0","8.9","0.2","20.3","0","url:../graphs/rpart/rpart_c1227.html;D'autres informations","34"
"34- PUISSALICON","28228","0","0","70.4","16.4","12.1","1.1","url:../graphs/rpart/rpart_c1298.html;D'autres informations","34"
"34- MONTAGNAC","39021","12.5","3","59.3","13.4","9.2","2.6","url:../graphs/rpart/rpart_c1276.html;D'autres informations","34"
"34- SAINT-JEAN-DE-FOS","1328","35.2","0","40.9","7.9","8.6","7.4","url:../graphs/rpart/rpart_c1310.html;D'autres informations","34"
"34- ROUJAN","11701","17.9","0","66.9","14.6","0.5","0.1","url:../graphs/rpart/rpart_c1303.html;D'autres informations","34"
"34- FELINES-MINERVOIS","3240","53.7","1.5","9.3","0.9","30.3","4.2","url:../graphs/rpart/rpart_c1252.html;D'autres informations","34"
"34- SAINT-JEAN-DE-LA-BLAQUIERE","3169","80.4","5.8","7.1","0.7","5.1","0.9","url:../graphs/rpart/rpart_c1311.html;D'autres informations","34"
"34- MONTPEYROUX","9471","42","2.1","16.5","4","35.4","0.2","url:../graphs/rpart/rpart_c1279.html;D'autres informations","34"
"34- OCTON","2104","14.5","0","66.5","13","5","1","url:../graphs/rpart/rpart_c1285.html;D'autres informations","34"
"34-LA TOUR-SUR-ORB","1610","0","0","28.1","15.1","53.4","3.4","url:../graphs/rpart/rpart_c1337.html;D'autres informations","34"
"34- ASPIRAN","5106","23.1","10","45","10.1","7.2","4.5","url:../graphs/rpart/rpart_c1222.html;D'autres informations","34"
"34- SAINT-JEAN-DE-MINERVOIS","1137","50.8","14.2","18","10.6","2.5","3.8","url:../graphs/rpart/rpart_c1312.html;D'autres informations","34"
"34- ARGELLIERS","1203","33.9","0","30.5","9.5","17.5","8.7","url:../graphs/rpart/rpart_c1221.html;D'autres informations","34"
"34- VALFLAUNES","12594","61.6","3.9","20.5","8.4","5","0.5","url:../graphs/rpart/rpart_c1325.html;D'autres informations","34"
"34- CAUX","21482","26.2","5","33.5","11.7","18.1","5.4","url:../graphs/rpart/rpart_c1238.html;D'autres informations","34"
"34- PUISSERGUIER","19302","8.5","0.3","64.6","20.2","5.3","1.1","url:../graphs/rpart/rpart_c1299.html;D'autres informations","34"
"34- ROQUEBRUN","7232","32.2","0.2","37.9","7","20.8","1.9","url:../graphs/rpart/rpart_c1301.html;D'autres informations","34"
"34- SAINT-THIBERY","6337","0","0","58","7.2","33.4","1.4","url:../graphs/rpart/rpart_c1316.html;D'autres informations","34"
"34- TOURBES","26176","0","0","50.2","24.1","15.1","10.7","url:../graphs/rpart/rpart_c1323.html;D'autres informations","34"
"34- SIRAN","8333","49.7","1.5","41","1.9","5.2","0.7","url:../graphs/rpart/rpart_c1320.html;D'autres informations","34"
"34- CLERMONT-L'HERAULT","4736","2.3","0","69.8","5.9","22","0","url:../graphs/rpart/rpart_c1244.html;D'autres informations","34"
"34- BERLOU","1533","67.6","2.5","0","1.2","25.7","3","url:../graphs/rpart/rpart_c1229.html;D'autres informations","34"
